"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","7.00","7.00","7.00","7.00","0.00K","0.86%"
"Apr 30, 2020","6.94","6.94","6.94","6.94","0.12K","-2.94%"
"Apr 29, 2020","7.15","7.15","7.15","7.15","0.01K","-2.32%"
"Apr 27, 2020","7.32","7.55","7.76","7.32","0.09K","-2.92%"
"Apr 24, 2020","7.54","7.54","7.54","7.54","0.00K","2.86%"
"Apr 23, 2020","7.33","7.33","7.33","7.12","0.23K","-2.91%"
"Apr 20, 2020","7.55","7.55","7.55","7.55","0.00K","2.72%"
"Apr 17, 2020","7.35","6.93","7.35","6.93","1.05K","2.94%"
"Apr 16, 2020","7.14","7.14","7.14","6.74","0.45K","2.88%"
"Apr 15, 2020","6.94","6.94","6.94","6.94","0.06K","-2.94%"
"Apr 13, 2020","7.15","7.12","7.15","7.08","0.20K","-1.92%"
"Apr 08, 2020","7.29","7.11","7.29","7.10","0.55K","0.00%"
"Apr 07, 2020","7.29","7.29","7.29","7.29","0.10K","2.53%"
"Apr 06, 2020","7.11","6.91","7.11","6.90","0.72K","2.89%"
"Apr 03, 2020","6.91","7.30","7.30","6.91","0.72K","-2.95%"
"Apr 02, 2020","7.12","7.12","7.12","7.12","2.23K","-2.86%"
"Apr 01, 2020","7.33","7.50","7.50","7.12","0.02K","0.00%"
"Mar 31, 2020","7.33","7.33","7.33","7.33","0.05K","-2.91%"
"Mar 30, 2020","7.55","7.55","7.55","7.55","0.01K","1.89%"
"Mar 26, 2020","7.41","7.41","7.41","7.20","0.71K","2.92%"
"Mar 25, 2020","7.20","7.20","7.20","7.20","0.00K","1.41%"
"Mar 24, 2020","7.10","7.10","7.10","7.10","0.05K","-1.11%"
"Mar 19, 2020","7.18","7.18","7.18","7.18","0.01K","-0.28%"
"Mar 18, 2020","7.20","6.80","7.20","6.80","1.32K","2.71%"
"Mar 17, 2020","7.01","6.80","7.01","6.80","2.39K","0.00%"
"Mar 16, 2020","7.01","7.13","7.20","7.01","1.62K","-4.37%"
"Mar 13, 2020","7.33","7.55","7.55","7.33","0.55K","-3.30%"
"Mar 11, 2020","7.58","7.58","7.58","7.58","0.00K","1.07%"
"Mar 10, 2020","7.50","7.50","7.50","7.40","0.13K","-1.19%"
"Mar 09, 2020","7.59","7.50","7.59","7.50","0.03K","-0.13%"
"Mar 06, 2020","7.60","7.50","7.60","7.50","0.11K","-1.30%"
"Mar 05, 2020","7.70","7.70","7.70","7.70","0.06K","0.00%"
"Mar 04, 2020","7.70","7.52","7.70","7.52","0.26K","0.00%"
"Mar 02, 2020","7.70","7.70","7.70","7.70","0.00K","0.00%"
"Feb 28, 2020","7.70","7.90","7.90","7.51","0.63K","-0.39%"
"Feb 27, 2020","7.73","7.73","7.73","7.73","0.70K","-2.89%"
"Feb 24, 2020","7.96","7.76","7.97","7.76","1.24K","2.58%"
"Feb 21, 2020","7.76","7.75","7.76","7.55","0.72K","-0.13%"
"Feb 20, 2020","7.77","7.55","7.77","7.55","0.51K","-0.13%"
"Feb 19, 2020","7.78","7.51","7.78","7.51","0.88K","2.50%"
"Feb 17, 2020","7.59","7.40","7.59","7.40","0.09K","0.00%"
"Feb 12, 2020","7.59","7.59","7.59","7.59","1.62K","-1.56%"
"Feb 10, 2020","7.71","7.50","7.71","7.40","0.78K","2.94%"
"Feb 07, 2020","7.49","7.49","7.49","7.49","0.01K","-2.73%"
"Feb 04, 2020","7.70","7.70","7.70","7.70","0.15K","0.00%"
"Feb 03, 2020","7.70","7.50","7.71","7.40","2.00K","2.67%"
"Jan 31, 2020","7.50","7.43","7.50","7.26","0.72K","0.81%"
"Jan 28, 2020","7.44","7.22","7.44","7.22","0.83K","0.00%"
"Jan 24, 2020","7.44","7.44","7.44","7.44","0.04K","-0.13%"
"Jan 22, 2020","7.45","7.45","7.45","7.30","0.14K","-0.67%"
"Jan 21, 2020","7.50","7.50","7.50","7.50","0.05K","0.13%"
"Jan 20, 2020","7.49","7.35","7.50","7.35","2.06K","1.90%"
"Jan 17, 2020","7.35","7.50","7.50","7.08","0.05K","0.82%"
"Jan 16, 2020","7.29","7.29","7.29","7.29","0.34K","0.00%"
"Jan 15, 2020","7.29","7.35","7.35","7.13","0.02K","1.96%"
"Jan 13, 2020","7.15","7.00","7.15","7.00","1.45K","0.70%"
"Jan 10, 2020","7.10","7.00","7.10","7.00","0.51K","-0.70%"
"Jan 09, 2020","7.15","7.12","7.15","7.09","11.16K","-2.05%"
"Jan 08, 2020","7.30","7.70","7.70","7.30","15.62K","-2.93%"
"Jan 07, 2020","7.52","7.52","7.70","7.52","1.16K","-2.97%"
"Jan 06, 2020","7.75","7.70","7.75","7.70","0.02K","0.00%"
"Jan 03, 2020","7.75","7.98","7.98","7.75","0.18K","-3.00%"
