"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2020","18.15","18.15","18.15","18.15","0.01K","0.00%"
"Apr 17, 2020","18.15","18.15","18.15","18.15","0.41K","0.00%"
"Apr 16, 2020","18.15","18.15","18.15","18.15","11.96K","0.00%"
"Apr 15, 2020","18.15","18.15","18.15","18.15","21.95K","0.00%"
"Apr 14, 2020","18.15","18.15","18.15","18.15","24.93K","0.00%"
"Apr 13, 2020","18.15","18.15","18.15","18.15","24.73K","0.00%"
"Apr 08, 2020","18.15","18.15","18.15","18.15","16.17K","0.00%"
"Apr 07, 2020","18.15","18.15","18.15","18.15","16.94K","0.00%"
"Apr 06, 2020","18.15","18.15","18.15","18.15","10.84K","0.00%"
"Apr 03, 2020","18.15","18.15","18.15","18.15","7.62K","0.00%"
"Apr 02, 2020","18.15","18.15","18.15","18.15","12.11K","0.00%"
"Apr 01, 2020","18.15","18.15","18.15","18.15","21.99K","0.00%"
"Mar 31, 2020","18.15","18.15","18.16","18.15","61.85K","0.00%"
"Mar 30, 2020","18.15","18.15","18.15","18.15","123.07K","0.00%"
"Mar 27, 2020","18.15","18.15","18.15","18.15","115.02K","0.00%"
"Mar 26, 2020","18.15","18.15","18.16","18.15","1.45M","1.97%"
"Mar 23, 2020","17.80","17.70","17.80","17.70","1.12K","-0.56%"
"Mar 19, 2020","17.90","18.05","18.05","17.52","0.34K","0.56%"
"Mar 18, 2020","17.80","17.36","17.80","17.35","6.61K","1.14%"
"Mar 17, 2020","17.60","17.20","17.60","17.20","1.75K","-0.28%"
"Mar 16, 2020","17.65","17.55","17.70","17.55","4.42K","1.44%"
"Mar 13, 2020","17.40","17.50","17.50","17.40","9.97K","-0.57%"
"Mar 12, 2020","17.50","17.40","17.50","17.40","12.30K","0.00%"
"Mar 11, 2020","17.50","17.40","17.50","17.40","1.25K","0.00%"
"Mar 10, 2020","17.50","17.35","17.50","17.35","3.87K","0.06%"
"Mar 09, 2020","17.49","17.49","17.49","17.35","4.75K","-0.06%"
"Mar 06, 2020","17.50","17.41","17.50","17.38","2.22K","0.52%"
"Mar 05, 2020","17.41","17.42","17.42","17.41","1.03K","0.00%"
"Mar 04, 2020","17.41","17.40","17.49","17.40","3.35K","0.06%"
"Mar 03, 2020","17.40","17.40","17.50","17.35","1.67K","0.00%"
"Mar 02, 2020","17.40","17.30","17.81","17.30","1.19K","-0.57%"
"Feb 28, 2020","17.50","17.38","17.50","17.38","3.41K","0.11%"
"Feb 27, 2020","17.48","17.40","17.48","17.40","0.21K","0.63%"
"Feb 26, 2020","17.37","17.37","17.37","17.36","0.47K","0.06%"
"Feb 25, 2020","17.36","17.33","17.40","17.33","4.76K","0.06%"
"Feb 24, 2020","17.35","17.40","17.40","17.35","0.68K","0.12%"
"Feb 20, 2020","17.33","17.50","17.50","17.33","0.15K","-0.97%"
"Feb 19, 2020","17.50","17.50","17.50","17.50","0.38K","0.00%"
