"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.57","0.58","0.58","0.57","0.10K","-1.72%"
"May 04, 2020","0.58","0.56","0.58","0.56","15.14K","1.75%"
"Apr 30, 2020","0.57","0.56","0.57","0.56","8.21K","-3.39%"
"Apr 27, 2020","0.59","0.59","0.59","0.59","0.57K","-1.67%"
"Apr 24, 2020","0.60","0.60","0.60","0.60","1.89K","-3.23%"
"Apr 23, 2020","0.62","0.62","0.62","0.61","7.67K","0.00%"
"Apr 22, 2020","0.62","0.60","0.62","0.60","20.85K","1.64%"
"Apr 21, 2020","0.61","0.61","0.61","0.59","12.39K","1.67%"
"Apr 20, 2020","0.60","0.60","0.60","0.60","0.86K","1.69%"
"Apr 17, 2020","0.59","0.59","0.59","0.59","15.84K","1.72%"
"Apr 16, 2020","0.58","0.57","0.58","0.57","7.38K","3.57%"
"Apr 15, 2020","0.56","0.56","0.57","0.56","9.77K","0.00%"
"Apr 14, 2020","0.56","0.55","0.56","0.55","7.30K","1.82%"
"Apr 13, 2020","0.55","0.55","0.56","0.55","15.86K","-1.79%"
"Apr 08, 2020","0.56","0.56","0.56","0.56","0.17K","-1.75%"
"Apr 07, 2020","0.57","0.59","0.59","0.57","0.12K","-1.72%"
"Apr 06, 2020","0.58","0.58","0.58","0.58","0.77K","-1.69%"
"Apr 03, 2020","0.59","0.60","0.61","0.59","5.88K","-1.67%"
"Apr 02, 2020","0.60","0.61","0.61","0.59","6.54K","0.00%"
"Apr 01, 2020","0.60","0.61","0.61","0.59","1.82K","0.00%"
"Mar 31, 2020","0.60","0.61","0.61","0.59","7.88K","0.00%"
"Mar 30, 2020","0.60","0.61","0.62","0.60","8.62K","-1.64%"
"Mar 27, 2020","0.61","0.62","0.62","0.61","4.54K","-1.61%"
"Mar 26, 2020","0.62","0.62","0.63","0.62","32.95K","-1.59%"
"Mar 25, 2020","0.63","0.63","0.63","0.63","1.27K","-1.56%"
"Mar 24, 2020","0.64","0.64","0.64","0.64","62.78K","-3.03%"
"Mar 19, 2020","0.66","0.66","0.66","0.66","0.00K","-2.94%"
"Mar 18, 2020","0.68","0.70","0.70","0.68","2.56K","-2.86%"
"Mar 17, 2020","0.70","0.72","0.72","0.70","0.00K","-2.78%"
"Mar 16, 2020","0.72","0.72","0.72","0.72","1.11K","-4.00%"
"Mar 13, 2020","0.75","0.77","0.78","0.75","5.40K","-2.60%"
"Mar 12, 2020","0.77","0.79","0.79","0.77","3.35K","0.00%"
"Mar 11, 2020","0.77","0.79","0.79","0.77","12.56K","-3.75%"
