"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2020","28.00","28.00","28.00","28.00","0.01K","-1.06%"
"Mar 24, 2020","28.30","28.30","28.30","28.30","0.40K","2.46%"
"Mar 23, 2020","27.62","27.62","27.62","27.62","0.25K","2.98%"
"Mar 18, 2020","26.82","26.82","26.82","26.82","0.36K","-4.49%"
"Mar 12, 2020","28.08","28.08","28.08","28.08","0.02K","2.97%"
"Mar 10, 2020","27.27","27.27","27.27","27.27","0.00K","2.98%"
"Mar 06, 2020","26.48","26.48","26.48","26.48","0.05K","-2.97%"
"Mar 05, 2020","27.29","28.13","28.13","27.29","0.14K","-5.86%"
"Feb 28, 2020","28.99","28.99","28.99","28.99","0.05K","-2.98%"
"Feb 18, 2020","29.88","29.88","29.88","29.88","0.01K","0.00%"
"Feb 17, 2020","29.88","29.88","29.88","29.88","0.25K","0.00%"
"Feb 14, 2020","29.88","29.88","29.88","29.88","0.05K","-2.03%"
"Feb 13, 2020","30.50","30.50","30.50","30.50","0.01K","-4.09%"
"Jan 28, 2020","31.80","30.90","31.80","30.90","1.57K","6.00%"
"Jan 27, 2020","30.00","29.90","30.00","29.90","4.16K","0.00%"
"Jan 24, 2020","30.00","30.00","30.00","30.00","0.58K","0.40%"
"Jan 23, 2020","29.88","30.00","30.00","29.88","0.32K","-0.40%"
"Jan 22, 2020","30.00","30.00","30.00","30.00","0.77K","-2.60%"
"Jan 08, 2020","30.80","30.00","30.80","30.00","0.22K","5.84%"
"Jan 06, 2020","29.10","29.10","29.10","29.10","0.01K","-3.00%"
"Dec 30, 2019","30.00","30.00","30.00","30.00","0.20K","0.00%"
"Dec 18, 2019","30.00","30.00","30.00","30.00","0.55K","0.03%"
"Dec 17, 2019","29.99","29.12","29.99","29.12","0.03K","2.99%"
"Dec 16, 2019","29.12","29.10","29.12","29.10","0.76K","0.00%"
"Dec 13, 2019","29.12","29.12","29.12","29.12","2.58K","-2.93%"
"Dec 04, 2019","30.00","30.00","30.00","30.00","0.02K","-1.64%"
"Dec 02, 2019","30.50","30.50","30.50","30.50","0.50K","0.93%"
"Nov 29, 2019","30.22","30.23","30.23","30.22","0.51K","-2.52%"
"Nov 28, 2019","31.00","31.00","31.00","31.00","0.59K","-0.16%"
"Nov 26, 2019","31.05","31.05","31.05","31.05","0.50K","0.00%"
"Nov 25, 2019","31.05","31.05","31.05","31.05","0.50K","-2.97%"
"Nov 21, 2019","32.00","32.00","32.00","32.00","0.00K","-1.54%"
"Nov 08, 2019","32.50","32.50","32.50","32.50","0.60K","0.00%"
"Nov 07, 2019","32.50","32.50","32.50","32.50","0.01K","0.00%"
"Nov 06, 2019","32.50","32.50","32.50","32.50","0.51K","0.00%"
"Nov 04, 2019","32.50","32.93","32.93","32.45","0.65K","1.56%"
"Nov 01, 2019","32.00","31.98","32.00","31.98","4.65K","0.57%"
"Oct 31, 2019","31.82","30.90","31.82","30.90","3.02K","6.07%"
"Oct 30, 2019","30.00","30.00","30.00","30.00","10.91K","1.69%"
"Oct 28, 2019","29.50","29.50","29.50","29.50","0.01K","-1.67%"
"Oct 21, 2019","30.00","30.00","30.00","30.00","0.25K","2.08%"
"Oct 17, 2019","29.39","28.55","29.39","28.55","1.06K","0.10%"
"Oct 16, 2019","29.36","28.51","29.36","28.51","0.18K","-0.10%"
"Oct 14, 2019","29.39","28.54","29.39","28.54","1.11K","-4.58%"
"Oct 09, 2019","30.80","30.75","30.80","30.75","0.62K","0.20%"
"Oct 04, 2019","30.74","30.74","30.74","30.74","0.31K","0.00%"
"Oct 03, 2019","30.74","30.74","30.74","30.74","0.64K","-0.03%"
"Oct 01, 2019","30.75","30.75","30.75","30.75","0.00K","-0.65%"
"Sep 27, 2019","30.95","30.05","30.95","30.05","0.63K","-0.06%"
"Sep 26, 2019","30.97","30.07","30.97","30.07","0.67K","-0.10%"
