"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","16.70","16.98","16.99","16.11","0.14K","0.78%"
"May 04, 2020","16.57","16.50","16.57","16.50","0.99K","0.00%"
"Apr 30, 2020","16.57","16.60","16.60","16.57","2.48K","-2.99%"
"Apr 29, 2020","17.08","17.99","17.99","17.08","2.39K","-2.95%"
"Apr 28, 2020","17.60","17.69","17.69","16.70","0.36K","2.44%"
"Apr 27, 2020","17.18","17.18","17.18","17.18","0.13K","1.78%"
"Apr 24, 2020","16.88","16.99","16.99","16.61","0.88K","-0.12%"
"Apr 23, 2020","16.90","16.90","16.90","16.90","0.73K","1.50%"
"Apr 22, 2020","16.65","16.50","17.00","16.50","4.08K","-2.00%"
"Apr 21, 2020","16.99","17.20","17.20","16.60","3.66K","-0.06%"
"Apr 20, 2020","17.00","16.99","17.00","16.60","1.27K","0.06%"
"Apr 17, 2020","16.99","16.99","16.99","16.80","0.50K","-0.06%"
"Apr 16, 2020","17.00","17.00","17.00","16.65","0.53K","0.06%"
"Apr 15, 2020","16.99","16.50","16.99","16.50","0.51K","-0.06%"
"Apr 14, 2020","17.00","17.39","17.39","16.50","0.73K","0.00%"
"Apr 13, 2020","17.00","17.00","17.00","17.00","0.95K","0.00%"
"Apr 08, 2020","17.00","17.35","17.35","17.00","5.36K","0.06%"
"Apr 07, 2020","16.99","16.40","16.99","16.40","0.97K","0.89%"
"Apr 06, 2020","16.84","16.36","16.84","16.36","8.41K","-0.12%"
"Apr 03, 2020","16.86","17.38","17.89","16.86","6.10K","-2.99%"
"Apr 02, 2020","17.38","17.50","17.50","17.38","4.93K","-2.96%"
"Apr 01, 2020","17.91","17.40","17.91","17.40","3.00K","-0.06%"
"Mar 31, 2020","17.92","17.92","17.92","17.91","1.40K","2.99%"
"Mar 30, 2020","17.40","17.89","17.89","17.00","0.23K","0.00%"
"Mar 27, 2020","17.40","18.00","18.00","17.12","2.27K","-0.57%"
"Mar 26, 2020","17.50","17.51","17.51","17.50","1.31K","2.94%"
"Mar 25, 2020","17.00","17.00","17.00","17.00","3.02K","0.06%"
"Mar 24, 2020","16.99","16.77","17.00","16.55","2.98K","1.25%"
"Mar 23, 2020","16.78","16.30","17.00","16.30","1.63K","-0.12%"
"Mar 19, 2020","16.80","17.74","17.74","16.75","4.28K","-2.50%"
"Mar 18, 2020","17.23","17.23","17.25","17.23","19.44K","-2.98%"
"Mar 17, 2020","17.76","18.30","18.30","17.76","12.63K","-5.83%"
"Mar 16, 2020","18.86","19.35","19.35","18.86","6.41K","-4.46%"
"Mar 13, 2020","19.74","20.66","20.66","19.74","7.92K","-4.64%"
"Mar 12, 2020","20.70","21.01","21.40","20.70","6.92K","-4.39%"
"Mar 11, 2020","21.65","21.65","21.65","21.20","0.45K","3.00%"
"Mar 10, 2020","21.02","21.30","21.40","20.95","5.31K","-2.64%"
"Mar 09, 2020","21.59","21.60","21.60","21.59","2.70K","-0.05%"
"Mar 06, 2020","21.60","22.00","22.02","21.60","0.90K","-0.46%"
"Mar 05, 2020","21.70","21.85","21.85","21.70","1.87K","-0.91%"
"Mar 04, 2020","21.90","21.99","22.00","21.90","0.56K","-0.45%"
"Mar 03, 2020","22.00","22.48","22.48","22.00","1.42K","-2.18%"
"Mar 02, 2020","22.49","23.00","23.00","22.49","2.10K","-0.04%"
"Feb 28, 2020","22.50","22.20","22.64","21.81","0.98K","1.35%"
"Feb 27, 2020","22.20","21.83","22.20","21.83","2.11K","1.83%"
"Feb 26, 2020","21.80","21.81","21.81","21.80","1.21K","-0.46%"
"Feb 25, 2020","21.90","21.90","21.91","21.90","2.36K","-0.45%"
"Feb 24, 2020","22.00","22.60","22.60","22.00","3.50K","-0.90%"
"Feb 21, 2020","22.20","22.20","22.64","22.20","7.82K","0.00%"
"Feb 20, 2020","22.20","22.65","22.65","22.20","5.08K","-0.98%"
"Feb 19, 2020","22.42","22.60","22.70","22.40","0.65K","-0.80%"
"Feb 18, 2020","22.60","22.50","22.60","22.00","12.50K","0.00%"
"Feb 17, 2020","22.60","22.60","22.60","22.20","4.17K","0.67%"
"Feb 14, 2020","22.45","21.80","22.45","21.80","10.91K","2.98%"
