"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","9.19","9.19","9.19","9.19","0.00K","0.11%"
"May 04, 2020","9.18","9.18","9.18","9.18","0.00K","0.99%"
"Apr 30, 2020","9.09","9.14","9.14","9.09","0.23K","-0.55%"
"Apr 29, 2020","9.14","9.18","9.18","9.00","1.06K","1.56%"
"Apr 28, 2020","9.00","9.37","9.37","9.00","2.71K","-1.10%"
"Apr 27, 2020","9.10","9.25","9.25","9.00","7.02K","0.00%"
"Apr 24, 2020","9.10","9.18","9.18","8.85","2.55K","0.44%"
"Apr 23, 2020","9.06","8.95","9.06","8.95","2.11K","1.23%"
"Apr 22, 2020","8.95","9.25","9.25","8.83","2.18K","-1.65%"
"Apr 21, 2020","9.10","9.23","9.49","9.00","7.42K","-1.30%"
"Apr 20, 2020","9.22","9.23","9.23","9.20","5.19K","0.44%"
"Apr 17, 2020","9.18","9.19","9.19","9.10","3.16K","0.33%"
"Apr 16, 2020","9.15","9.23","9.23","9.15","0.55K","0.11%"
"Apr 15, 2020","9.14","9.10","9.23","9.10","6.03K","0.44%"
"Apr 14, 2020","9.10","9.10","9.10","9.01","2.27K","0.00%"
"Apr 13, 2020","9.10","9.10","9.12","8.99","0.36K","-0.11%"
"Apr 08, 2020","9.11","9.20","9.20","9.06","11.73K","-0.33%"
"Apr 07, 2020","9.14","9.10","9.14","8.90","22.80K","2.93%"
"Apr 06, 2020","8.88","9.09","9.09","8.64","1.70K","0.00%"
"Apr 03, 2020","8.88","9.13","9.13","8.66","1.91K","0.00%"
"Apr 02, 2020","8.88","9.15","9.23","8.88","27.90K","-2.95%"
"Apr 01, 2020","9.15","9.15","9.18","9.00","9.04K","1.78%"
"Mar 31, 2020","8.99","8.99","9.00","8.90","5.01K","0.00%"
"Mar 30, 2020","8.99","9.06","9.06","8.99","8.28K","2.16%"
"Mar 27, 2020","8.80","9.05","9.05","8.68","9.27K","0.00%"
"Mar 26, 2020","8.80","9.06","9.06","8.75","6.73K","0.00%"
"Mar 25, 2020","8.80","9.04","9.04","8.70","12.53K","0.11%"
"Mar 24, 2020","8.79","8.79","8.79","8.79","0.72K","2.93%"
"Mar 23, 2020","8.54","8.54","8.54","8.54","24.82K","2.89%"
"Mar 19, 2020","8.30","8.60","8.60","8.20","1.82K","-0.60%"
"Mar 18, 2020","8.35","7.93","8.40","7.93","6.91K","2.20%"
"Mar 17, 2020","8.17","8.17","8.93","8.17","7.07K","-4.44%"
"Mar 16, 2020","8.55","8.95","8.95","8.55","4.05K","-4.58%"
"Mar 13, 2020","8.96","9.23","9.23","8.96","19.79K","-5.78%"
"Mar 12, 2020","9.51","9.80","9.80","9.51","0.45K","-1.86%"
"Mar 11, 2020","9.69","9.45","9.73","9.45","8.68K","-0.10%"
"Mar 10, 2020","9.70","9.69","9.80","9.40","10.83K","-2.81%"
"Mar 09, 2020","9.98","9.85","10.14","9.70","4.76K","-0.50%"
"Mar 06, 2020","10.03","10.34","10.34","10.03","9.05K","-1.28%"
"Mar 05, 2020","10.16","10.19","10.20","10.16","2.63K","-0.39%"
"Mar 04, 2020","10.20","10.25","10.25","10.10","10.64K","0.10%"
"Mar 03, 2020","10.19","10.11","10.30","10.00","2.68K","-1.07%"
"Mar 02, 2020","10.30","10.40","10.44","10.21","26.46K","-0.10%"
"Feb 28, 2020","10.31","10.30","10.44","10.29","25.80K","0.10%"
"Feb 27, 2020","10.30","9.88","10.40","9.88","25.80K","4.36%"
"Feb 26, 2020","9.87","9.89","9.89","9.75","97.82K","1.13%"
"Feb 25, 2020","9.76","9.88","9.88","9.76","12.14K","-1.31%"
"Feb 24, 2020","9.89","9.98","9.98","9.80","3.14K","-0.10%"
"Feb 21, 2020","9.90","9.98","10.05","9.90","3.71K","0.00%"
"Feb 20, 2020","9.90","9.99","9.99","9.80","4.74K","0.00%"
"Feb 19, 2020","9.90","9.98","9.98","9.80","7.41K","0.00%"
"Feb 18, 2020","9.90","9.90","9.99","9.81","39.74K","0.00%"
"Feb 17, 2020","9.90","9.99","9.99","9.80","43.85K","-0.90%"
"Feb 14, 2020","9.99","9.85","10.05","9.85","39.38K","2.04%"
"Feb 13, 2020","9.79","9.51","9.79","9.51","20.75K","0.51%"
"Feb 12, 2020","9.74","9.80","9.80","9.55","1.16K","-1.02%"
"Feb 11, 2020","9.84","9.50","9.88","9.50","2.18K","0.51%"
"Feb 10, 2020","9.79","9.79","9.79","9.79","0.10K","-0.61%"
"Feb 07, 2020","9.85","9.69","9.90","9.69","0.12K","1.86%"
"Feb 06, 2020","9.67","9.67","9.67","9.55","2.96K","-0.10%"
"Feb 05, 2020","9.68","9.61","9.68","9.60","4.51K","0.10%"
"Feb 04, 2020","9.67","9.68","9.68","9.60","2.15K","-0.31%"
"Feb 03, 2020","9.70","9.61","9.70","9.61","1.45K","0.00%"
"Jan 31, 2020","9.70","9.74","9.74","9.61","7.08K","0.00%"
"Jan 30, 2020","9.70","9.90","9.90","9.70","5.05K","-0.41%"
"Jan 29, 2020","9.74","9.95","9.95","9.74","15.39K","0.00%"
"Jan 28, 2020","9.74","10.00","10.20","9.73","32.38K","-2.89%"
"Jan 27, 2020","10.03","9.80","10.03","9.80","45.48K","4.48%"
"Jan 24, 2020","9.60","9.25","9.66","9.25","45.34K","3.78%"
"Jan 23, 2020","9.25","9.20","9.35","9.20","2.87K","0.33%"
"Jan 22, 2020","9.22","9.30","9.30","9.20","2.15K","-0.75%"
"Jan 21, 2020","9.29","9.30","9.30","9.14","34.06K","0.98%"
"Jan 20, 2020","9.20","9.16","9.25","9.16","10.93K","0.44%"
"Jan 17, 2020","9.16","9.21","9.21","9.16","26.99K","-1.51%"
"Jan 16, 2020","9.30","9.23","9.30","9.22","3.02K","-0.85%"
"Jan 15, 2020","9.38","9.40","9.40","9.22","3.03K","-0.21%"
"Jan 13, 2020","9.40","9.49","9.49","9.36","8.28K","0.32%"
"Jan 10, 2020","9.37","9.37","9.37","9.27","2.13K","0.00%"
"Jan 09, 2020","9.37","9.43","9.43","9.20","2.00K","1.85%"
"Jan 08, 2020","9.20","9.30","9.38","9.20","9.69K","-0.65%"
"Jan 07, 2020","9.26","9.43","9.43","9.25","2.17K","-1.38%"
"Jan 06, 2020","9.39","9.37","9.45","9.20","2.36K","2.07%"
"Jan 03, 2020","9.20","9.43","9.43","9.20","2.03K","0.00%"
