"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","7.44","7.44","7.44","7.44","2.41K","0.00%"
"Apr 29, 2020","7.44","7.44","7.44","7.44","0.07K","0.00%"
"Apr 21, 2020","7.44","7.44","7.44","7.44","0.07K","-3.00%"
"Apr 20, 2020","7.67","7.67","7.67","7.67","0.17K","-2.91%"
"Apr 07, 2020","7.90","8.12","8.12","7.90","0.02K","-8.35%"
"Mar 27, 2020","8.62","8.62","8.62","8.62","0.00K","-2.93%"
"Mar 26, 2020","8.88","8.88","8.88","8.88","0.01K","2.54%"
"Mar 25, 2020","8.66","8.66","8.66","8.66","0.02K","2.85%"
"Mar 18, 2020","8.42","8.42","8.42","8.42","0.02K","2.93%"
"Mar 17, 2020","8.18","8.18","8.18","8.18","0.01K","2.89%"
"Mar 11, 2020","7.95","7.95","7.95","7.95","0.02K","2.58%"
"Feb 25, 2020","7.75","7.75","7.75","7.75","0.01K","-0.26%"
"Feb 24, 2020","7.77","7.77","7.77","7.77","0.01K","2.91%"
"Feb 12, 2020","7.55","7.55","7.55","7.55","0.02K","2.44%"
"Feb 11, 2020","7.37","7.16","7.37","7.16","0.41K","2.93%"
"Feb 10, 2020","7.16","7.16","7.16","7.16","0.28K","0.00%"
"Feb 04, 2020","7.16","7.16","7.16","7.16","0.26K","0.00%"
"Jan 31, 2020","7.16","7.16","7.16","7.16","0.02K","0.00%"
"Jan 30, 2020","7.16","7.16","7.16","7.16","0.08K","1.99%"
"Jan 29, 2020","7.02","7.00","7.02","7.00","0.33K","-1.96%"
"Jan 23, 2020","7.16","7.16","7.16","7.16","0.01K","-0.14%"
"Jan 20, 2020","7.17","7.17","7.17","7.17","0.00K","0.70%"
"Jan 13, 2020","7.12","6.66","7.12","6.66","0.02K","2.45%"
"Jan 03, 2020","6.95","7.16","7.16","6.95","0.90K","-3.07%"
"Dec 31, 2019","7.17","6.97","7.17","6.97","1.52K","2.87%"
"Dec 30, 2019","6.97","7.18","7.18","6.97","0.15K","-2.92%"
"Dec 27, 2019","7.18","7.57","7.57","7.18","0.04K","-2.31%"
"Dec 26, 2019","7.35","7.58","7.58","7.35","0.08K","-0.14%"
"Dec 25, 2019","7.36","7.50","7.79","7.35","0.21K","-2.77%"
"Dec 24, 2019","7.57","7.73","7.73","7.57","0.01K","0.00%"
"Dec 17, 2019","7.57","7.57","7.57","7.57","0.01K","-2.82%"
"Dec 12, 2019","7.79","7.79","7.79","7.79","1.77K","-0.13%"
"Dec 10, 2019","7.80","7.80","7.80","7.58","0.26K","2.63%"
"Dec 09, 2019","7.60","7.80","7.80","7.60","0.00K","-2.56%"
"Dec 06, 2019","7.80","7.80","7.80","7.80","0.00K","-4.29%"
"Dec 04, 2019","8.15","8.15","8.15","8.15","0.02K","0.62%"
"Dec 03, 2019","8.10","8.09","8.10","8.09","0.04K","0.62%"
"Dec 02, 2019","8.05","7.52","8.05","7.52","0.31K","-0.62%"
"Nov 27, 2019","8.10","7.64","8.10","7.64","0.05K","2.92%"
"Nov 26, 2019","7.87","7.43","7.87","7.43","0.02K","2.88%"
"Nov 25, 2019","7.65","7.70","8.10","7.65","0.09K","-3.16%"
"Nov 22, 2019","7.90","7.90","7.90","7.90","0.00K","-2.95%"
"Nov 20, 2019","8.14","8.14","8.14","8.14","0.01K","-0.73%"
"Nov 05, 2019","8.20","7.96","8.20","7.96","0.04K","0.00%"
"Nov 01, 2019","8.20","8.09","8.20","8.09","0.23K","0.00%"
"Oct 28, 2019","8.20","8.20","8.20","8.20","0.01K","-1.80%"
"Oct 23, 2019","8.35","8.14","8.39","8.14","0.23K","-0.48%"
"Oct 22, 2019","8.39","7.91","8.39","7.91","0.90K","2.94%"
"Oct 21, 2019","8.15","7.86","8.30","7.86","0.48K","0.62%"
"Oct 18, 2019","8.10","8.10","8.10","8.10","0.05K","2.14%"
"Oct 17, 2019","7.93","7.47","7.93","7.47","0.13K","2.99%"
"Oct 16, 2019","7.70","7.70","7.70","7.70","0.01K","2.67%"
"Oct 14, 2019","7.50","7.50","7.50","7.50","0.01K","2.88%"
"Oct 11, 2019","7.29","7.29","7.29","7.29","0.02K","2.97%"
"Oct 09, 2019","7.08","7.08","7.08","7.08","0.05K","-2.88%"
"Oct 08, 2019","7.29","7.08","7.29","7.08","0.04K","0.00%"
"Sep 30, 2019","7.29","7.29","7.29","7.29","0.01K","2.68%"
"Sep 27, 2019","7.10","7.10","7.10","7.10","0.05K","0.00%"
"Sep 25, 2019","7.10","7.11","7.34","7.10","1.35K","-2.87%"
"Sep 24, 2019","7.31","7.31","7.31","7.31","0.01K","2.96%"
"Sep 23, 2019","7.10","7.15","7.20","7.10","0.80K","0.00%"
"Sep 20, 2019","7.10","7.10","7.10","7.10","5.55K","0.00%"
"Sep 19, 2019","7.10","7.10","7.10","7.10","4.50K","-0.14%"
"Sep 18, 2019","7.11","7.11","7.11","7.11","0.02K","-2.87%"
"Sep 13, 2019","7.32","7.32","7.32","7.32","0.01K","-1.74%"
"Sep 12, 2019","7.45","7.50","7.69","7.45","0.07K","-0.67%"
"Sep 11, 2019","7.50","7.70","7.70","7.50","0.42K","0.00%"
"Sep 10, 2019","7.50","7.31","7.52","7.31","0.23K","2.60%"
"Sep 09, 2019","7.31","7.10","7.31","7.10","8.35K","2.96%"
"Sep 06, 2019","7.10","6.96","7.10","6.96","3.47K","2.16%"
"Sep 05, 2019","6.95","6.75","6.95","6.75","0.81K","2.96%"
"Sep 04, 2019","6.75","6.75","6.75","6.75","0.01K","2.43%"
"Sep 03, 2019","6.59","6.59","6.59","6.59","0.30K","0.00%"
"Aug 28, 2019","6.59","6.59","6.59","6.59","0.05K","0.15%"
"Aug 27, 2019","6.58","6.40","6.59","6.40","8.00K","2.81%"
"Aug 26, 2019","6.40","6.40","6.40","6.40","6.25K","0.00%"
"Aug 22, 2019","6.40","6.40","6.40","6.40","3.00K","0.00%"
"Aug 21, 2019","6.40","6.30","6.40","6.30","0.65K","1.59%"
"Aug 20, 2019","6.30","6.12","6.30","6.12","0.44K","0.00%"
"Aug 16, 2019","6.30","6.29","6.30","6.29","0.80K","1.61%"
"Aug 09, 2019","6.20","6.19","6.20","6.19","7.66K","-1.59%"
"Aug 02, 2019","6.30","6.30","6.30","6.30","0.15K","2.77%"
"Jul 30, 2019","6.13","6.12","6.13","6.12","2.00K","0.16%"
"Jul 26, 2019","6.12","6.13","6.13","6.12","0.29K","2.00%"
"Jul 24, 2019","6.00","6.00","6.12","6.00","1.14K","0.84%"
"Jul 17, 2019","5.95","5.95","5.95","5.95","1.19K","0.00%"
"Jul 15, 2019","5.95","5.95","5.97","5.95","0.98K","-2.94%"
"Jul 11, 2019","6.13","6.13","6.13","6.13","0.09K","0.16%"
"Jul 10, 2019","6.12","6.12","6.12","6.12","0.09K","2.86%"
