"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","1.040","1.020","1.040","1.020","4.28K","0.97%"
"May 04, 2020","1.030","1.010","1.030","1.010","11.80K","3.00%"
"Apr 30, 2020","1.000","1.030","1.040","1.000","27.62K","-2.91%"
"Apr 29, 2020","1.030","1.030","1.040","1.010","94.08K","-0.96%"
"Apr 28, 2020","1.040","1.040","1.050","1.030","89.06K","-1.89%"
"Apr 27, 2020","1.060","1.070","1.070","1.030","61.33K","0.00%"
"Apr 24, 2020","1.060","1.060","1.060","1.040","19.38K","0.00%"
"Apr 23, 2020","1.060","1.050","1.070","1.040","54.15K","0.95%"
"Apr 22, 2020","1.050","1.090","1.090","1.050","11.50K","-0.94%"
"Apr 21, 2020","1.060","1.090","1.110","1.060","45.90K","-1.85%"
"Apr 20, 2020","1.080","1.100","1.120","1.070","70.21K","-1.82%"
"Apr 17, 2020","1.100","1.080","1.100","1.040","164.65K","2.80%"
"Apr 16, 2020","1.070","1.070","1.070","1.040","11.07K","0.00%"
"Apr 15, 2020","1.070","1.080","1.080","1.030","29.79K","1.90%"
"Apr 14, 2020","1.050","1.080","1.080","1.050","34.53K","-2.78%"
"Apr 13, 2020","1.080","1.070","1.080","1.060","4.21K","0.00%"
"Apr 08, 2020","1.080","1.070","1.090","1.060","14.21K","-0.92%"
"Apr 07, 2020","1.090","1.060","1.090","1.060","9.56K","2.83%"
"Apr 06, 2020","1.060","1.080","1.080","1.060","66.72K","-2.75%"
"Apr 03, 2020","1.090","1.090","1.100","1.090","71.22K","-2.68%"
"Apr 02, 2020","1.120","1.140","1.170","1.120","37.00K","-2.61%"
"Apr 01, 2020","1.150","1.160","1.160","1.150","191.70K","1.77%"
"Mar 31, 2020","1.130","1.130","1.130","1.120","115.96K","2.73%"
"Mar 30, 2020","1.100","1.100","1.100","1.100","3.20K","2.80%"
"Mar 27, 2020","1.070","1.070","1.070","1.070","23.30K","2.88%"
"Mar 26, 2020","1.040","1.000","1.040","1.000","89.13K","2.97%"
"Mar 25, 2020","1.010","1.010","1.010","1.010","13.55K","2.02%"
"Mar 24, 2020","0.990","0.960","0.990","0.950","97.90K","2.06%"
"Mar 23, 2020","0.970","0.960","0.970","0.960","18.70K","-1.02%"
"Mar 19, 2020","0.980","0.970","1.010","0.970","70.48K","-1.01%"
"Mar 18, 2020","0.990","0.990","0.990","0.990","33.69K","-10.00%"
"Mar 13, 2020","1.100","1.150","1.150","1.100","56.07K","-5.17%"
"Mar 12, 2020","1.160","1.160","1.160","1.160","17.74K","-2.52%"
"Mar 11, 2020","1.190","1.180","1.210","1.170","45.32K","0.85%"
"Mar 10, 2020","1.180","1.170","1.180","1.130","65.81K","0.00%"
"Mar 09, 2020","1.180","1.190","1.210","1.180","37.05K","-2.48%"
"Mar 06, 2020","1.210","1.210","1.210","1.190","31.01K","-0.82%"
"Mar 05, 2020","1.220","1.220","1.230","1.210","14.65K","0.00%"
"Mar 04, 2020","1.220","1.220","1.230","1.210","49.85K","0.00%"
"Mar 03, 2020","1.220","1.210","1.220","1.200","63.01K","0.83%"
"Mar 02, 2020","1.210","1.200","1.210","1.200","12.84K","0.83%"
"Feb 28, 2020","1.200","1.190","1.210","1.190","47.00K","0.00%"
"Feb 27, 2020","1.200","1.210","1.210","1.190","19.81K","0.00%"
"Feb 26, 2020","1.200","1.200","1.210","1.200","7.70K","0.00%"
"Feb 25, 2020","1.200","1.200","1.220","1.200","10.97K","-1.64%"
"Feb 24, 2020","1.220","1.240","1.240","1.210","72.43K","-1.61%"
"Feb 21, 2020","1.240","1.210","1.240","1.210","266.74K","2.48%"
"Feb 20, 2020","1.210","1.200","1.210","1.200","11.08K","0.00%"
"Feb 19, 2020","1.210","1.210","1.210","1.200","4.45K","0.00%"
"Feb 18, 2020","1.210","1.190","1.210","1.190","10.48K","1.68%"
"Feb 17, 2020","1.190","1.200","1.220","1.190","10.84K","-0.83%"
"Feb 14, 2020","1.200","1.220","1.220","1.190","22.36K","-1.64%"
"Feb 13, 2020","1.220","1.210","1.230","1.210","58.67K","0.83%"
"Feb 12, 2020","1.210","1.170","1.210","1.170","159.18K","2.54%"
"Feb 11, 2020","1.180","1.150","1.180","1.150","16.71K","0.85%"
"Feb 10, 2020","1.170","1.170","1.170","1.150","34.16K","0.00%"
"Feb 07, 2020","1.170","1.170","1.170","1.160","14.23K","0.00%"
"Feb 06, 2020","1.170","1.180","1.180","1.160","32.20K","0.00%"
"Feb 05, 2020","1.170","1.170","1.180","1.160","64.01K","-0.85%"
"Feb 04, 2020","1.180","1.180","1.190","1.170","54.03K","-0.84%"
