"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","9.27","9.16","9.36","9.16","28.36K","1.20%"
"May 04, 2020","9.16","9.09","9.17","9.01","14.03K","1.78%"
"Apr 30, 2020","9.00","8.95","9.10","8.95","18.25K","0.90%"
"Apr 29, 2020","8.92","8.93","8.94","8.79","16.60K","-0.11%"
"Apr 28, 2020","8.93","9.09","9.10","8.90","26.34K","-2.19%"
"Apr 27, 2020","9.13","9.17","9.17","9.00","11.78K","0.44%"
"Apr 24, 2020","9.09","8.93","9.15","8.90","17.73K","1.68%"
"Apr 23, 2020","8.94","8.95","8.95","8.85","27.38K","1.02%"
"Apr 22, 2020","8.85","8.99","8.99","8.60","476.94K","0.23%"
"Apr 21, 2020","8.83","9.05","9.30","8.83","285.46K","-2.97%"
"Apr 20, 2020","9.10","9.04","9.16","9.00","42.93K","1.45%"
"Apr 17, 2020","8.97","9.00","9.15","8.97","11.78K","-0.33%"
"Apr 16, 2020","9.00","9.03","9.15","9.00","14.24K","-0.99%"
"Apr 15, 2020","9.09","9.13","9.14","9.01","23.90K","-0.44%"
"Apr 14, 2020","9.13","9.15","9.15","9.09","11.19K","-0.11%"
"Apr 13, 2020","9.14","9.20","9.32","9.07","38.19K","-0.33%"
"Apr 08, 2020","9.17","9.19","9.25","9.15","24.30K","-0.22%"
"Apr 07, 2020","9.19","9.09","9.27","9.09","17.76K","0.55%"
"Apr 06, 2020","9.14","9.00","9.14","8.80","4.82K","1.56%"
"Apr 03, 2020","9.00","9.07","9.07","8.90","16.58K","-0.66%"
"Apr 02, 2020","9.06","9.30","9.30","9.06","48.67K","-3.00%"
"Apr 01, 2020","9.34","9.49","9.49","9.34","59.70K","1.08%"
"Mar 31, 2020","9.24","9.00","9.24","8.98","37.35K","2.90%"
"Mar 30, 2020","8.98","9.00","9.10","8.73","476.88K","-0.22%"
"Mar 27, 2020","9.00","8.80","9.06","8.54","1.36M","2.27%"
"Mar 26, 2020","8.80","8.89","9.08","8.78","59.57K","-1.12%"
"Mar 25, 2020","8.90","8.79","8.98","8.53","92.78K","1.25%"
"Mar 24, 2020","8.79","9.32","9.33","8.79","155.75K","-2.98%"
"Mar 23, 2020","9.06","8.62","9.07","8.62","9.07K","2.84%"
"Mar 19, 2020","8.81","8.57","9.08","8.57","17.00K","-0.23%"
"Mar 18, 2020","8.83","9.00","9.35","8.81","59.48K","-7.05%"
"Mar 16, 2020","9.50","9.90","9.90","9.46","119.35K","-4.81%"
"Mar 13, 2020","9.98","10.25","10.55","9.95","130.92K","-4.77%"
"Mar 12, 2020","10.48","10.81","10.81","10.48","12.58K","-2.96%"
"Mar 11, 2020","10.80","10.60","11.07","10.60","25.39K","1.89%"
"Mar 10, 2020","10.60","10.50","10.80","10.19","28.39K","0.00%"
