"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","18.35","18.89","18.89","17.83","8.19K","0.00%"
"May 04, 2020","18.35","18.94","18.94","18.22","2.61K","-0.27%"
"Apr 30, 2020","18.40","18.40","18.60","18.06","3.87K","0.00%"
"Apr 29, 2020","18.40","18.39","18.50","18.39","9.09K","-2.90%"
"Apr 28, 2020","18.95","19.59","19.59","18.95","9.02K","-2.82%"
"Apr 27, 2020","19.50","19.81","19.99","19.40","14.04K","-1.56%"
"Apr 24, 2020","19.81","19.51","19.98","19.51","15.87K","1.64%"
"Apr 23, 2020","19.49","19.49","19.49","18.97","21.63K","2.74%"
"Apr 22, 2020","18.97","18.60","18.97","18.60","10.76K","2.99%"
"Apr 21, 2020","18.42","18.40","18.58","18.19","14.33K","1.60%"
"Apr 20, 2020","18.13","17.85","18.13","17.85","12.99K","2.95%"
"Apr 17, 2020","17.61","17.55","17.80","17.50","6.30K","0.74%"
"Apr 16, 2020","17.48","17.65","17.70","17.40","3.68K","0.46%"
"Apr 15, 2020","17.40","17.60","17.60","17.40","6.52K","0.00%"
"Apr 14, 2020","17.40","17.60","17.70","17.35","6.16K","-0.57%"
"Apr 13, 2020","17.50","17.70","17.70","17.50","6.34K","-0.62%"
"Apr 08, 2020","17.61","17.79","17.80","17.61","4.22K","-0.34%"
"Apr 07, 2020","17.67","17.79","17.99","17.60","4.84K","0.34%"
"Apr 06, 2020","17.61","17.88","17.88","17.61","5.61K","-0.51%"
"Apr 03, 2020","17.70","18.20","18.20","17.60","5.53K","-0.56%"
"Apr 02, 2020","17.80","18.30","18.34","17.80","12.86K","-3.00%"
"Apr 01, 2020","18.35","18.45","18.45","18.25","5.83K","-0.22%"
"Mar 31, 2020","18.39","18.20","18.45","18.20","10.70K","2.17%"
"Mar 30, 2020","18.00","17.86","18.40","17.86","5.13K","0.73%"
"Mar 27, 2020","17.87","18.45","18.45","17.87","11.37K","-0.72%"
"Mar 26, 2020","18.00","18.00","18.20","17.87","6.78K","0.67%"
"Mar 25, 2020","17.88","18.00","18.34","17.88","68.58K","-0.50%"
"Mar 24, 2020","17.97","17.55","17.97","17.46","26.36K","2.98%"
"Mar 23, 2020","17.45","17.23","17.49","17.00","24.40K","2.71%"
"Mar 19, 2020","16.99","16.81","17.50","16.80","57.47K","-1.22%"
"Mar 18, 2020","17.20","16.30","17.20","16.27","42.55K","2.56%"
"Mar 17, 2020","16.77","16.77","16.80","16.77","61.47K","-4.44%"
"Mar 16, 2020","17.55","17.83","18.00","17.55","96.14K","-5.95%"
"Mar 13, 2020","18.66","18.69","19.10","18.15","34.75K","-3.32%"
"Mar 12, 2020","19.30","19.79","19.79","19.21","39.73K","-2.53%"
"Mar 11, 2020","19.80","19.55","19.90","19.55","9.85K","0.00%"
"Mar 10, 2020","19.80","19.90","19.90","19.31","17.27K","-0.50%"
"Mar 09, 2020","19.90","20.51","20.51","19.90","53.44K","-2.93%"
"Mar 06, 2020","20.50","20.95","20.95","20.30","17.13K","-1.91%"
"Mar 05, 2020","20.90","21.09","21.11","20.70","19.23K","-0.95%"
"Mar 04, 2020","21.10","21.10","21.24","20.90","15.63K","-0.57%"
"Mar 03, 2020","21.22","21.08","21.50","21.00","155.70K","0.66%"
"Mar 02, 2020","21.08","20.60","21.21","20.60","56.97K","2.83%"
"Feb 28, 2020","20.50","20.50","20.62","20.40","24.12K","0.24%"
"Feb 27, 2020","20.45","20.45","20.53","20.38","29.41K","0.34%"
"Feb 26, 2020","20.38","20.45","20.49","20.36","6.62K","0.15%"
"Feb 25, 2020","20.35","20.45","20.60","20.35","68.35K","-0.73%"
"Feb 24, 2020","20.50","20.36","20.55","20.30","35.57K","0.64%"
"Feb 21, 2020","20.37","20.40","20.45","20.35","7.51K","-0.15%"
"Feb 20, 2020","20.40","20.45","20.45","20.40","14.77K","-0.24%"
"Feb 19, 2020","20.45","20.40","20.50","20.26","19.93K","0.49%"
"Feb 18, 2020","20.35","20.30","20.35","20.23","8.90K","0.20%"
"Feb 17, 2020","20.31","20.35","20.35","20.24","9.08K","0.30%"
"Feb 14, 2020","20.25","20.35","20.35","20.20","13.04K","-0.59%"
"Feb 13, 2020","20.37","20.48","20.48","20.31","12.99K","0.00%"
"Feb 12, 2020","20.37","20.37","20.49","20.37","5.51K","0.10%"
"Feb 11, 2020","20.35","20.37","20.50","20.21","13.56K","-0.10%"
"Feb 10, 2020","20.37","20.45","20.65","20.35","11.08K","-0.39%"
"Feb 07, 2020","20.45","20.50","20.65","20.30","9.63K","0.84%"
"Feb 06, 2020","20.28","20.28","20.50","20.00","20.57K","-0.25%"
"Feb 05, 2020","20.33","20.70","20.70","20.33","54.56K","-0.83%"
"Feb 04, 2020","20.50","20.31","20.70","20.31","46.72K","1.18%"
"Feb 03, 2020","20.26","20.15","20.29","20.05","42.51K","0.55%"
"Jan 31, 2020","20.15","19.94","20.15","19.93","10.04K","1.10%"
"Jan 30, 2020","19.93","20.00","20.00","19.83","14.68K","-0.25%"
"Jan 29, 2020","19.98","20.00","20.03","19.91","16.22K","-0.10%"
"Jan 28, 2020","20.00","19.98","20.05","19.90","25.18K","0.86%"
"Jan 27, 2020","19.83","19.68","19.99","19.33","17.47K","2.59%"
"Jan 24, 2020","19.33","19.11","19.68","19.05","9.79K","0.73%"
"Jan 23, 2020","19.19","18.94","19.19","18.90","13.92K","1.32%"
"Jan 22, 2020","18.94","18.90","18.95","18.81","10.28K","0.00%"
"Jan 21, 2020","18.94","18.95","18.95","18.73","12.24K","1.55%"
"Jan 20, 2020","18.65","18.94","18.95","18.62","17.83K","-1.53%"
"Jan 17, 2020","18.94","18.89","19.00","18.54","6.41K","-0.26%"
"Jan 16, 2020","18.99","18.77","19.00","18.70","12.96K","1.17%"
"Jan 15, 2020","18.77","18.56","18.77","18.56","12.34K","1.40%"
"Jan 13, 2020","18.51","18.50","18.70","18.50","12.35K","0.00%"
"Jan 10, 2020","18.51","18.69","18.69","18.45","28.98K","-1.02%"
"Jan 09, 2020","18.70","18.53","18.70","18.52","17.24K","0.92%"
"Jan 08, 2020","18.53","18.70","18.70","18.53","10.12K","-0.91%"
"Jan 07, 2020","18.70","18.90","18.90","18.68","44.86K","-0.69%"
"Jan 06, 2020","18.83","18.71","19.09","18.71","18.62K","-0.84%"
"Jan 03, 2020","18.99","18.69","19.10","18.65","34.74K","1.66%"
"Jan 02, 2020","18.68","18.95","18.98","18.50","35.83K","-1.74%"
"Dec 31, 2019","19.01","19.01","19.13","19.01","38.86K","0.00%"
"Dec 30, 2019","19.01","19.00","19.20","18.80","33.79K","1.33%"
"Dec 27, 2019","18.76","18.80","18.90","18.75","33.94K","0.00%"
"Dec 26, 2019","18.76","18.80","18.90","18.73","25.27K","0.05%"
"Dec 25, 2019","18.75","18.55","18.91","18.55","29.01K","1.13%"
"Dec 24, 2019","18.54","18.46","18.56","18.46","14.97K","0.22%"
"Dec 23, 2019","18.50","18.46","18.50","18.45","6.14K","0.22%"
"Dec 20, 2019","18.46","18.45","18.50","18.40","8.79K","0.05%"
"Dec 19, 2019","18.45","18.50","18.50","18.40","12.16K","-0.27%"
"Dec 18, 2019","18.50","18.35","18.50","18.35","17.78K","0.54%"
"Dec 17, 2019","18.40","18.50","18.50","18.32","31.39K","-0.54%"
"Dec 16, 2019","18.50","18.67","18.67","18.40","11.44K","0.11%"
