"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","5.45","5.29","5.45","5.18","8.75K","2.83%"
"May 04, 2020","5.30","5.03","5.30","5.03","45.04K","2.32%"
"Apr 30, 2020","5.18","5.20","5.34","5.18","32.25K","-3.00%"
"Apr 29, 2020","5.34","5.34","5.34","5.34","0.34K","-5.65%"
"Apr 27, 2020","5.66","5.66","5.66","5.66","0.61K","-2.92%"
"Apr 24, 2020","5.83","6.00","6.00","5.83","21.58K","-3.00%"
"Apr 23, 2020","6.01","6.19","6.19","6.01","18.08K","-2.91%"
"Apr 22, 2020","6.19","6.22","6.22","6.00","3.24K","1.48%"
"Apr 21, 2020","6.10","6.10","6.28","6.01","2.31K","0.00%"
"Apr 20, 2020","6.10","6.25","6.25","6.10","1.90K","0.00%"
"Apr 17, 2020","6.10","6.18","6.18","6.10","0.60K","-2.09%"
"Apr 16, 2020","6.23","6.28","6.28","6.03","0.21K","0.48%"
"Apr 15, 2020","6.20","6.29","6.29","6.09","8.41K","-1.12%"
"Apr 14, 2020","6.27","6.30","6.30","6.10","9.64K","0.32%"
"Apr 13, 2020","6.25","6.30","6.30","6.25","0.39K","0.00%"
"Apr 08, 2020","6.25","6.08","6.25","6.08","6.30K","0.00%"
"Apr 07, 2020","6.25","6.10","6.30","6.10","24.47K","1.63%"
"Apr 06, 2020","6.15","6.15","6.15","5.95","5.21K","0.33%"
"Apr 03, 2020","6.13","6.25","6.28","6.13","1.87K","-1.13%"
"Apr 02, 2020","6.20","6.50","6.50","6.19","0.57K","-2.36%"
"Apr 01, 2020","6.35","6.35","6.35","6.03","2.56K","2.58%"
"Mar 31, 2020","6.19","6.20","6.22","5.87","3.66K","2.48%"
"Mar 30, 2020","6.04","6.15","6.25","5.97","38.85K","-1.79%"
"Mar 27, 2020","6.15","6.27","6.28","6.10","7.02K","-2.07%"
"Mar 26, 2020","6.28","6.30","6.30","6.10","11.09K","0.16%"
"Mar 25, 2020","6.27","6.30","6.30","6.27","0.97K","0.32%"
"Mar 24, 2020","6.25","6.30","6.30","6.13","14.63K","-0.48%"
"Mar 23, 2020","6.28","6.24","6.30","6.11","32.32K","-0.16%"
"Mar 19, 2020","6.29","6.45","6.45","6.09","10.79K","0.32%"
"Mar 18, 2020","6.27","5.94","6.30","5.94","72.67K","-2.03%"
"Mar 16, 2020","6.40","6.59","6.59","6.40","61.91K","-5.19%"
"Mar 13, 2020","6.75","6.97","6.97","6.60","45.16K","-3.16%"
"Mar 12, 2020","6.97","7.18","7.18","6.97","16.85K","-2.92%"
"Mar 11, 2020","7.18","7.05","7.26","7.05","46.77K","2.57%"
"Mar 10, 2020","7.00","7.02","7.03","6.85","29.65K","-0.57%"
"Mar 09, 2020","7.04","7.25","7.26","7.04","82.44K","-2.22%"
"Mar 06, 2020","7.20","7.25","7.30","7.05","54.42K","-0.69%"
"Mar 05, 2020","7.25","7.32","7.32","7.17","62.37K","-0.82%"
"Mar 04, 2020","7.31","7.35","7.35","7.31","6.37K","-0.54%"
"Mar 03, 2020","7.35","7.30","7.36","7.30","11.33K","-0.27%"
"Mar 02, 2020","7.37","7.39","7.39","7.30","36.27K","0.96%"
"Feb 28, 2020","7.30","7.38","7.40","7.29","9.53K","-0.82%"
"Feb 27, 2020","7.36","7.40","7.40","7.28","17.50K","-0.54%"
"Feb 26, 2020","7.40","7.32","7.44","7.32","1.81K","0.27%"
"Feb 25, 2020","7.38","7.41","7.41","7.31","7.68K","-0.40%"
"Feb 24, 2020","7.41","7.46","7.46","7.36","21.77K","-0.40%"
"Feb 21, 2020","7.44","7.39","7.49","7.30","5.61K","1.78%"
"Feb 20, 2020","7.31","7.40","7.40","7.30","12.55K","0.14%"
"Feb 19, 2020","7.30","7.30","7.39","7.30","23.33K","0.00%"
"Feb 18, 2020","7.30","7.48","7.48","7.26","19.50K","-1.35%"
"Feb 17, 2020","7.40","7.48","7.48","7.27","4.22K","-0.27%"
"Feb 14, 2020","7.42","7.42","7.49","7.31","13.33K","0.27%"
"Feb 13, 2020","7.40","7.39","7.48","7.37","34.05K","0.27%"
"Feb 12, 2020","7.38","7.29","7.39","7.29","36.37K","1.37%"
"Feb 11, 2020","7.28","7.20","7.39","7.20","30.21K","1.11%"
"Feb 10, 2020","7.20","7.10","7.20","7.03","25.87K","0.00%"
"Feb 07, 2020","7.20","7.10","7.25","7.10","48.23K","1.41%"
"Feb 06, 2020","7.10","7.18","7.18","7.02","8.62K","-0.70%"
"Feb 05, 2020","7.15","7.08","7.15","7.08","9.11K","-0.28%"
"Feb 04, 2020","7.17","7.02","7.20","7.02","4.26K","-0.42%"
"Feb 03, 2020","7.20","7.19","7.25","7.10","23.23K","0.70%"
"Jan 31, 2020","7.15","7.19","7.19","7.15","9.88K","-0.69%"
"Jan 30, 2020","7.20","7.10","7.20","7.10","9.16K","0.00%"
"Jan 29, 2020","7.20","7.20","7.20","7.20","0.00K","0.00%"
"Jan 28, 2020","7.20","7.34","7.34","7.12","7.46K","-0.69%"
"Jan 27, 2020","7.25","7.20","7.34","7.15","23.25K","1.40%"
"Jan 24, 2020","7.15","7.13","7.19","7.03","34.95K","0.00%"
